r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
225,3/18/2024,21,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle, Walk","Drive, Alternative, Active",Walk,Walk,2 days,2,,15,0,N. LBJ Dr. at Sessom Dr.,Region #6,Email,About right,About half the time,Most of the time,Yes: I have read all of the Rules and RegulatiOns,,Might or might not,78666,602,541,"Free parking On a city or neighborhood street,Other, please specify:","Free parking on a city or neighborhood street, Other,",No,,,"Permit cost is too high, Do not believe there is available parking, Other,",Permit cost is too high,,,,,,,,,,,,,,,,,,"In order for TxState to healthily and safely grow with its increasing populatiOn, there must be further efforts made for public transportatiOn and free parking. To park around campus, all someOne should have to do is prove that they are either a member of staff or a student at TxState university. There are empty parking lots all around town with no operating businesses which still prohibit parking. TxState needs to take steps to create more free parking areas which are readily accessible and owned by the university. The hypocrisy present in the fact that San Marcos is so reliant On student's business (what with the overwhelming number of bars and restaurants in relatiOn to any other type of public space)juxtaposing the hostility with which said students are treated when not paying for the space they use to travel creates a completely inhospitable and unsustainable relatiOnship between TxState university and the nOn-affiliated town of San Marcos.",Detractor,0,Somewhat satisfied,Extremely difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,,,,
226,3/18/2024,20,Main,Sophomore,Unknown,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Walk,Active,Walk,Walk,0 days,0,,0,0,,,Email,About right,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably yes,78336,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,hOnestly get more parking.,,,,,,,,,,,,
227,3/18/2024,33,Main,Masters,White Non-Hisp,Female,Off,Off-Campus,Part-time,,GA,Yes,,Drive,Drive,Walk,Walk,5 days,5,,45,30,Aquarena Springs,Region #5,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78724,478,648,Free parking On a city or neighborhood street,Free parking on a city or neighborhood street,No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Permit cost is too high,,,,,,,,,,,,,,,,,,I would much rather the tuitiOn fees I pay for every semester go towards providing affordable and reasOnably distributed parking than the services I currently pay fees for every semester and never use.,Detractor,1,Extremely satisfied,Somewhat easy,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,,,,
228,3/18/2024,32,Main,Masters,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Drive,Drive,Walk,Walk,5 days,5,,30,20,Aquarena Springs,,Text Message,About right,Never,About half the time,No: I have read nOne of the Rules and RegulatiOns,Too long,Might or might not,78741,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium East (P10E),,,,,,,,,Park in a Red Faculty/Staff parking lot,,More commuter parking closer to campus.,Detractor,0,Neither satisfied nor dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,,,,
229,3/18/2024,19,Main,Sophomore,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,3 days,3,,60,30,Sessom Dr,,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78665,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Speck Garage (C13),Closest to class,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Detractor,6,Somewhat dissatisfied,Somewhat easy,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,,,,
230,3/18/2024,23,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, SPIN Scooters","Drive, Alternative, Active","Bobcat Shuttle,Walk,SPIN Scooters","Bobcat Shuttle, Walk, SPIN Scooters",1 day,1,,0,0,Sessom Dr,,Print Media,Less than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Available parking is incOnvenient for me",Permit cost is too high,,,,,,,,,,,,,,,,,,"Make more parking garages, or parking lots with more available purple permits!! The LBJ parking garage gets filled really fast and we have to wait On people to leave and makes us late to class even if we’re 20 minutes early.",Detractor,6,Extremely satisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,Extremely satisfied,,,,
231,3/18/2024,28,Main,Doctoral,Hisp,Female,Off,Off-Campus,Full-time,,GA,Yes,,Drive,Drive,Walk,Walk,6 days,6,,0,5,N. Guadalupe St,Region #6,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78666,541,569,Free parking On a city or neighborhood street,Free parking on a city or neighborhood street,Yes,,,,,,,"Other, please specify:",Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,"Other, please specify:",,"My main issue is not having enough commuter parking On the west side of campus (Science/Engineering buildings). Most of these lots have been cOnverted to carpool or resident parking or are no lOnger available due to cOnstructiOn, so I have to park On the street if I want to be anywhere close to my Office. I have a parking permit solely so that I can park in red/green lots during winter and summer breaks.",Detractor,2,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
232,3/18/2024,20,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,Veteran Dependent,,Yes,,Walk,Active,"Walk,Catch a ride / Carpool","Walk, Catch a ride / Carpool",7 days,7,,0,0,,Region #6,Text Message,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably not,78666,657,483,Downtown or On the Square,Downtown or On the Square,No,,,Purchase temporary permits as needed,,,,,,,,,,,,,,,,,,,We need more. I am going to start commuting next semester from Kyle and just know parking is not going to go very well because we just dOn’t have a lot of it especially closer to campus.,Detractor,4,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
233,3/18/2024,24,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,Veteran,,Yes,,Drive,Drive,Walk,Walk,2 days,2,,60,30,Hopkins,Region #3,Text Message,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Might or might not,78023,420,363,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour),First available spot, regardless of restrictiOns","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP, First available spot, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Rarely/never drive to campus",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,"Make way more purple parking or allow students to purchase any pass 

Make it easier for ROTC to park early in the morning for PT at 6am",Detractor,0,Neither satisfied nor dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,,,,
234,3/18/2024,25,Main,Post-bacc,Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Drive,Drive,4 days,4,,30,10,N. Guadalupe St,,Email,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78155,,,"A university lot or garage - with the correct parking permit,Accessible Parking","A university lot or garage - with the correct parking permit, Accessible Parking",Yes,,,,,,,"Other, please specify:",Closest to class,,,,,,,,,,,,"Other, please specify:",,Create a Blue parking permit for disabled students that allow parking in any space On any lot On campus; you can still require proof of disability plates/placard before issuing the permit. But I have spent far too much time disputing tickets because parking Officers dOn’t know campus parking regulatiOns. It’s absurd and bordering On harassment. A separate permit would make it unambiguous that I (as a disabled student) can park in any accessible parking regardless of lot color or any available spot if all the accessible parking in a lot is full.,Detractor,3,Somewhat satisfied,Extremely difficult,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,,
235,3/18/2024,30,Main,Sophomore,Unknown,Female,Off,Off-Campus,Full-time,Veteran,,Yes,,Drive,Drive,Walk,Walk,5 days,5,,60,30,Aquarena Springs,,Email,About right,About half the time,Always,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78626,,,"Other, please specify:","Other,",Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,,Circle until a space becomes available,15 to 30 minutes,"I knew it was going to be a lOng drive here and thought the pass would make it easier but i've just accepted that I have to park as far as possible at this point because parking is impossible. So thats a hour and a half drive, a thirty minute walk and a parking pass? there has to be a better pass for those who have heavy commutes. I'm willing to pay more for One and I'm sure others in my shoes would too. maybe if there was a proof of distance to get One?

Some of the the garages have skewed rules On levels and permitted spots. I got a ticket in One because there was a miss of accuracy. The Online map, physical map, sign posted outside the garage and the ceiling signs had separate specificatiOns On where One permit ended and the next began. Some being general which leaves areas for interpretatiOn and others being more specific. I didn't know until after the ticket there was more than One ruling On the matter. Stream line the informatiOn to read the same, mark it better or be lenient On tickets in those areas. I dOn't think people should get tickets because they Only reviewed One avenue of outputted informatiOn.",Detractor,2,Somewhat dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
236,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Blanco Hall,Full-time,,,Yes,,,,"Drive,Walk,Bicycle","Drive, Walk, Bicycle",7 days,7,,,,,,Email,About right,Sometimes,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Blanco Garage (Lot 303),,,,,,"Other, please specify:",,Safety is my biggest issue. Specifically at the academy street garage there is very little lighting and On the days I need to walk home to Blanco I feel unsafe. I've had to Uber home from the parking garage before. I am aware of the funding issue but there are too many people and not enough parking spaces. Because I've had to to park far away from my dorm late at night ive had really scary and unsafe walks home after midnight when I get Off from work.,Detractor,0,Somewhat satisfied,Somewhat easy,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
237,3/18/2024,21,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Walk","Drive, Alternative, Active","Drive,Bobcat Shuttle,Walk,Catch a ride / Carpool","Drive, Bobcat Shuttle, Walk, Catch a ride / Carpool",4 days,4,,15,10,Aquarena Springs,,Text Message,About right,About half the time,Most of the time,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78155,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,UEC Lot (P8),Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Detractor,3,Somewhat satisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
238,3/18/2024,19,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,2 days,2,,0,0,Sessom Dr,,Text Message,More than I would like,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78666,,,"A university lot or garage - with the correct parking permit,First available spot, regardless of restrictiOns","A university lot or garage - with the correct parking permit, First available spot, Free parking on a city or neighborhood street",Yes,,,,,,,Speck Garage (C13),Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Circle until a space becomes available,30 to 60 minutes,More parking garages,Detractor,2,Somewhat satisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,,,,
239,3/18/2024,26,Main,Masters,White Non-Hisp,Female,Off,Off-Campus,Full-time,,GA,Yes,,"Drive, Bobcat Shuttle, Walk","Drive, Alternative, Active",Walk,Walk,2 days,2,,15,0,Hopkins,Region #6,Email,About right,About half the time,Most of the time,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78666,664,550,"Free parking On a city or neighborhood street,The Edward Gary Parking Garage (pay by the hour),Downtown or On the Square","Free parking on a city or neighborhood street, Edward Gary PTP, Downtown or On the Square",No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Did not want to ride the Bobcat Shuttle from available parking,,,,,,,,,,,,,,,,,,Put directiOns to the pay statiOn in each floor of the Edward Gary garage. I spent five minutes looking for it after I got back to my car and had to pay for an extra hour because I was less than two minutes over the hour when I finally found it.,Detractor,5,Somewhat satisfied,Neither easy nor difficult,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,,,,
240,3/18/2024,23,Main,Masters,White Non-Hisp,Male,Off,Off-Campus,Full-time,,GA,No,Yes,"Bobcat Shuttle, Bicycle, Other, Other","Alternative, Active, Other, Other","Bobcat Shuttle,Walk,Bicycle","Bobcat Shuttle, Walk, Bicycle",,,,0,0,,,Text Message,About right,Sometimes,Always,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Probably yes,78666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I prefer alternative transportatiOn, (e.g., bikes, buses, walking)",,,
241,3/18/2024,21,Main,Junior,Unknown,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle, Walk, Carpool, Drop off","Drive, Alternative, Active, Alternative, Alternative","Drive,Bobcat Shuttle,Walk,Catch a ride / Carpool","Drive, Bobcat Shuttle, Walk, Catch a ride / Carpool",5 days,5,,15,5,Sessom Dr,Region #6,Text Message,More than I would like,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably not,78666,590,539,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,First available spot, regardless of restrictiOns","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, First available spot, Free parking on a city or neighborhood street",No,,,"Permit cost is too high, Do not believe there is available parking, Did not want to ride the Bobcat Shuttle from available parking",Do not believe there is available parking,,,,,,,,,,,,,,,,,,"The parking garages need to allow commuters On all floors, they do make up a large populatiOn of the txst community. If not there are always green and red spots that do not get filled and should be allowed to have purple parking passes since there is never any mOney to build new parking spots. Or the student workers should be allowed to park near their campus jobs, that is something I am struggling with because where I work the commuter parking lot is now being used to hold cOnstructiOn supplies for another dorm.",Detractor,0,Somewhat dissatisfied,Extremely difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,,,where ever is closest to class and I wOnt get a ticket or get yelled at.,
242,3/18/2024,20,Main,Sophomore,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,"Walk, Private Shuttle Bus","Active, Alternative",Walk,Walk,0 days,0,,0,0,,,Email,Less than I would like,Sometimes,About half the time,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Definitely not,78735,,,"Free parking On a city or neighborhood street,I never drive to campus - I Only drive my car for nOn-university uses","Free parking on a city or neighborhood street, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,"Create a petitiOn for students and faculty to sign that requires the University to provide funding to parking services. The available parking is not sufficient to accommodate the current students and faculty attending Texas State and if the University wants to cOntinue to grow that number in the way they have been they must take respOnsibility and provide students and faculty with enough parking that is cOnvenient and numerous enough to accommodate everyOne. Whether this means building additiOnal parking garages On campus or Off campus with a dedicated shuttle that runs regularly throughout the day and until a reasOnable hour at night a solutiOn must be presented. The current system is completely unacceptable and I find that the University is doing a disservice not Only to their students but their loyal faculty as well, by allowing the parking situatiOn to remain as unorganized and inefficient as it has been.",,,,,,,,,,,,
243,3/18/2024,19,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Walk,Active,Walk,Walk,3 days,3,,0,0,,,Text Message,About right,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78666,,,"A university lot or garage - with the correct parking permit,Off-campus Pay to Park lot","A university lot or garage - with the correct parking permit, Off-campus PTP",Yes,,,,,,,Bobcat Stadium East Lot (P10E),Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,"Mill St (P12),Bobcat Stadium East (P10E)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,"There needs to be more perimeter parking lot spaces, and parking lots need to have clearer directiOns in terms of which way to drive (I've almost been hit by someOne driving the wrOng way several times)",Detractor,3,Neither satisfied nor dissatisfied,Somewhat easy,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,Extremely satisfied,,,,
244,3/18/2024,20,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,2 days,2,,0,20,,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably not,78666,,,"A university lot or garage - without the correct parking permit,Other, please specify:","A university lot or garage - without the correct parking permit, Other,",No,,,"Permit cost is too high, Do not believe there is available parking, Rarely/never drive to campus",Permit cost is too high,,,,,,,,,,,,,,,,,,,Detractor,2,Somewhat satisfied,Neither easy nor difficult,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Extremely satisfied,,,,
245,3/18/2024,21,Main,Junior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Bobcat Shuttle,Bobcat Shuttle,1 day,1,,0,0,,,Email,Less than I would like,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Purchase temporary permits as needed, Rarely/never drive to campus, Other,",Permit cost is too high,,,,,,,,,,,,,,,,,,Make more commuting parking or make the permits cheaper. I work On campus and finding parking is awful. Buying that permit is not worth it since then is barely no parking near campus or the lots are full. I have to work around the times that these lots require you have the right permits to. also Email the parking tickets to the student email of the parking violators. I found out that got a ticket from last semester without a notice.,Detractor,2,Somewhat satisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
246,3/18/2024,41,Main,Masters,Black/Af Am,Male,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,Walk,Walk,2 days,2,,60,30,Aquarena Springs,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Probably yes,78634,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Easiest lot to get to,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),Bobcat Stadium (P10W),,,,,,,,,My preferred lot does not get full,,,Passive,8,Somewhat satisfied,Somewhat easy,Extremely dissatisfied,Extremely dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
247,3/18/2024,19,Main,Sophomore,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle, Carpool, Private Shuttle Bus","Drive, Alternative, Alternative, Alternative",Walk,Walk,5 days,5,,0,0,Hopkins,,Text Message,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably not,78666,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Speck Garage (C13),Closest to class,Bobcat Stadium (P10W),Bobcat Stadium (P10W),Bobcat Stadium (P10W),,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,"Not oversell parking permits and there should Only be a certain amount of permits sold that are equal the amount of parking spot available On campus, more access to other parking lots for commuters",Detractor,2,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
248,3/18/2024,19,Partially RRC,Senior,Multi-racial,Male,Off,Off-Campus,Full-time,,,Yes,,"Drive, Other, Other","Drive, Other, Other","Walk,Other, please specify:","Walk, Other, please specify:",3 days,3,,60,60,Aquarena Springs,,Text Message,,Never,Never,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,78641,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Closest to class,,,,,,,,,,,,Circle until a space becomes available,Less than 5 minutes,Make more existing parking purple OnLY (in the middle of campus) somewhere,Detractor,2,,Somewhat easy,Neither satisfied nor dissatisfied,,,,,,,
249,3/18/2024,22,Main,Senior,Multi-racial,Female,Off,Off-Campus,Full-time,,,Yes,,Walk,Active,Walk,Walk,5 days,5,,0,0,,Region #4,Email,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,741,267,"Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour),Downtown or On the Square","Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP, Downtown or On the Square",No,,,Permit cost is too high,,,,,,,,,,,,,,,,,,,"The permit prices seem very high for where you can park, the lowest permit will allow you to park at Only 2 places that are still pretty far from the main parts of campus. We can’t afford much and then to have the cheapest One Only allow us to park at two places just seems pointless, may as well just walk. Could y’all open more garages to allow more permits?",Detractor,6,Extremely satisfied,Neither easy nor difficult,Extremely satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,,,,
250,3/18/2024,26,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,4 days,4,,0,0,Hopkins,,Email,Less than I would like,Always,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Definitely yes,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Closest to class,"Mill St (P12),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),"Mill St (P12),Bobcat Stadium (P10W)",,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,No wOnder those guys are their job so seriously.,Detractor,6,Somewhat satisfied,Extremely easy,Extremely satisfied,Extremely dissatisfied,Somewhat satisfied,Somewhat dissatisfied,,,,
251,3/18/2024,19,Main,Freshman,White Non-Hisp,Female,On,San Jacinto Hall,Full-time,,,Yes,,,,"Drive,Walk","Drive, Walk",7 days,7,,,,,,Email,Less than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Bobcat Shuttle -  I did not want to ride the bus to my vehicle,,,,,,No,,San Jacinto Hall (Lot 112),,,,,,"Other, please specify:",,need to make more parking spaces in the garages. there isn’t enough for the amount of people who have a car,Detractor,3,Extremely dissatisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
252,3/18/2024,22,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,1 day,1,,0,5,,Region #1,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Might or might not,79836,322,117,Free parking On a city or neighborhood street,Free parking on a city or neighborhood street,No,,,"Permit cost is too high, Do not believe there is available parking",Do not believe there is available parking,,,,,,,,,,,,,,,,,,,Detractor,4,Somewhat dissatisfied,Somewhat easy,Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,
253,3/18/2024,21,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Drive,Drive,3 days,3,,60,30,Aquarena Springs,,Email,About right,Sometimes,About half the time,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78681,,,"A university lot or garage - with the correct parking permit,Accessible Parking","A university lot or garage - with the correct parking permit, Accessible Parking",Yes,,,,,,,Bobcat Stadium East Lot (P10E),Closest to class,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium East (P10E),,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Passive,8,Somewhat satisfied,Extremely easy,Extremely satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,,
254,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Blanco Hall,Full-time,,,Yes,,,,"Drive,Walk","Drive, Walk",7 days,7,,,,,,Text Message,Less than I would like,Never,Never,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Might or might not,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Other,,,,,,No,,Other Green Residential Parking,,,,,,Circle until a space becomes available,15 to 30 minutes,Add more green parking for those paying for the best parking pass.,Detractor,1,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,,,,
